ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
LRCX,weekly,2025-05-12,Long,102.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,84.2204,22.2387,112,58.4795,71.3500,64.9147,True,42681000,35.0000,3.7507,4.6610,22.2387
LULU,weekly,2025-03-10,Short,167.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,311.0300,-46.0502,175,403.3410,357.1855,380.2633,False,60730200,35.0000,26.5400,-7.8621,-46.0502
MAGS,weekly,2025-05-26,Long,61.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,52.3500,16.9245,98,42.2044,47.3672,44.7858,True,10674000,35.0000,0.3400,0.6537,16.9245
MAR,weekly,2025-05-12,Long,264.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,272.5278,-2.8723,112,214.3313,243.4295,228.8804,True,5080300,25.0000,3.8202,1.4217,-2.8723
MCHP,weekly,2025-05-12,Long,65.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,60.7399,8.5282,112,36.3829,48.5614,42.4722,True,32455500,33.5282,1.2106,2.0337,8.5282
MDLZ,weekly,2025-08-04,Short,61.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,61.8300,-0.1456,28,72.2933,67.0617,69.6775,False,29144000,25.1456,2.1400,-3.3453,-0.1456
MELI,weekly,2025-02-10,Long,2417.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,2109.9900,14.5735,203,1651.1475,1880.5687,1765.8581,True,1426300,35.0000,75.0699,3.6891,14.5735
META,weekly,2025-05-26,Long,752.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,646.9922,16.2997,98,508.2313,577.6117,542.9215,True,38146900,35.0000,12.0707,1.9011,16.2997
MNST,weekly,2025-08-11,Long,62.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,64.6400,-3.3725,21,58.5513,59.1771,58.8642,True,17015900,25.0000,0.2100,0.3259,-3.3725
MRVL,weekly,2025-06-16,Long,63.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,73.4499,-13.7779,77,48.2147,60.8323,54.5235,True,124049000,20.0000,4.9859,7.2826,-13.7779
MSFT,weekly,2025-04-28,Long,495.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,434.4824,13.9287,126,327.4286,380.9555,354.1920,True,81954300,35.0000,43.2406,11.0522,13.9287
MU,weekly,2025-05-26,Long,131.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,94.3712,39.2056,98,64.7659,83.1052,73.9356,True,74843400,35.0000,0.7193,-0.7565,39.2056
NFLX,weekly,2025-09-01,Short,1243.8199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,1243.8199,0.0000,0,1165.2612,1153.0104,1159.1358,True,10177000,35.0000,46.8199,3.9114,0.0000
NVDA,weekly,2025-05-26,Long,167.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,135.1206,23.6081,98,95.4602,115.5604,105.5103,True,761251300,35.0000,0.9799,0.7305,23.6081
